"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2212","Sign in with valid credentials"," Not Logged In","Tue Oct 21 07:51:19 EEST 2025","passed","Tue Oct 21 07:51:21 EEST 2025",""," Auth","",""
"","2130","Forgot login info shows result page"," Not Logged In","Tue Oct 21 07:51:12 EEST 2025","passed","Tue Oct 21 07:51:14 EEST 2025",""," Auth","",""
"","3086","Request Loan amount=5000 down=100"," Logged In","Tue Oct 21 07:50:37 EEST 2025","passed","Tue Oct 21 07:50:40 EEST 2025",""," Loans","",""
"","2939","Bill Pay happy path"," Logged In","Tue Oct 21 07:50:43 EEST 2025","passed","Tue Oct 21 07:50:45 EEST 2025",""," Payments","",""
"","2949","Find Transactions by amount"," Logged In","Tue Oct 21 07:50:46 EEST 2025","passed","Tue Oct 21 07:50:49 EEST 2025",""," Payments","",""
"","2870","Request Loan amount=100 down=10"," Logged In","Tue Oct 21 07:50:34 EEST 2025","passed","Tue Oct 21 07:50:37 EEST 2025",""," Loans","",""
"","3312","Transfer Funds amount=""1"""," Logged In","Tue Oct 21 07:50:49 EEST 2025","passed","Tue Oct 21 07:50:52 EEST 2025",""," Payments","",""
"","3101","Transfer Funds amount=""0"""," Logged In","Tue Oct 21 07:50:56 EEST 2025","passed","Tue Oct 21 07:50:59 EEST 2025",""," Payments","",""
"","2540","User can register (positive)"," Not Logged In","Tue Oct 21 07:51:14 EEST 2025","passed","Tue Oct 21 07:51:17 EEST 2025",""," Auth","",""
"","1953","Register negative (password mismatch)"," Not Logged In","Tue Oct 21 07:51:17 EEST 2025","passed","Tue Oct 21 07:51:19 EEST 2025",""," Auth","",""
"","3569","Transfer Funds amount=""25.50"""," Logged In","Tue Oct 21 07:50:52 EEST 2025","passed","Tue Oct 21 07:50:56 EEST 2025",""," Payments","",""
"","3107","Transfer Funds amount=""abc"""," Logged In","Tue Oct 21 07:51:02 EEST 2025","passed","Tue Oct 21 07:51:06 EEST 2025",""," Payments","",""
"","1774","Sign in with invalid password shows error"," Not Logged In","Tue Oct 21 07:51:21 EEST 2025","passed","Tue Oct 21 07:51:23 EEST 2025",""," Auth","",""
"","3639","Transfer Funds amount=""-5"""," Logged In","Tue Oct 21 07:50:59 EEST 2025","passed","Tue Oct 21 07:51:02 EEST 2025",""," Payments","",""
"","3201","Accounts Overview shows accounts table"," Logged In","Tue Oct 21 07:50:30 EEST 2025","passed","Tue Oct 21 07:50:34 EEST 2025",""," Accounts","",""
"","2846","User can Log out"," Logged In","Tue Oct 21 07:51:09 EEST 2025","passed","Tue Oct 21 07:51:12 EEST 2025",""," Session","",""
"","3452","Open New Account (Savings) succeeds"," Logged In","Tue Oct 21 07:50:27 EEST 2025","passed","Tue Oct 21 07:50:30 EEST 2025",""," Accounts","",""
"","6857","Account Details & Activity filtering works"," Logged In","Tue Oct 21 07:50:20 EEST 2025","passed","Tue Oct 21 07:50:27 EEST 2025",""," Accounts","",""
"","3546","Update Contact Info persists"," Logged In","Tue Oct 21 07:51:06 EEST 2025","passed","Tue Oct 21 07:51:09 EEST 2025",""," Profile","",""
"","2844","Request Loan amount=0 down=0"," Logged In","Tue Oct 21 07:50:40 EEST 2025","passed","Tue Oct 21 07:50:43 EEST 2025",""," Loans","",""
